ID,ApplicationDate,AnnualIncome,EmploymentStatus,Experience,LoanDuration,NumberOfDependents,MonthlyDebtPayments,NumberOfOpenCreditLines,BankruptcyHistory,PreviousLoanDefaults,LengthOfCreditHistory,CheckingAccountBalance,TotalLiabilities,NetWorth,LoanApproved
A9706,28-07-2020,56953,Employed,10,48,2,213,7,1,0,19,1026,14260,42349,0
A9707,29-07-2020,49859,Employed,34,12,1,316,4,0,0,16,7785,30080,51826,0
A9708,30-07-2020,54167,Employed,30,72,3,782,1,0,0,21,539,15367,38439,0
A9709,31-07-2020,63770,Employed,1,12,2,595,1,0,0,11,4102,9013,38239,0
A9710,01-08-2020,69315,Employed,4,36,0,271,0,0,0,5,2080,12019,141115,0
A9711,02-08-2020,245401,Employed,6,36,0,292,3,0,0,16,1985,19294,97573,1
A9712,03-08-2020,84127,Self-Employed,29,72,0,725,6,0,0,10,1275,182538,2872,1
A9713,04-08-2020,27037,Employed,2,36,1,387,3,0,0,3,2466,27720,30579,0
A9714,05-08-2020,88887,Employed,16,12,1,561,9,0,0,20,331,67530,808926,1
A9715,06-08-2020,43836,Employed,21,36,1,426,3,0,0,6,96,5166,82784,0
A9716,07-08-2020,30464,Employed,19,72,0,626,2,0,0,26,470,4996,18098,0
A9717,08-08-2020,68497,Employed,18,48,1,527,3,0,0,2,1123,11949,56339,1
A9718,09-08-2020,90518,Employed,5,60,2,304,4,0,0,21,1131,26519,198000,1
A9719,10-08-2020,35689,Self-Employed,24,36,2,198,5,0,0,22,496,37954,21709,0
A9720,11-08-2020,47930,Employed,13,60,1,252,1,0,0,5,163,167129,4955,0
A9721,12-08-2020,66901,Employed,13,36,1,480,7,0,0,11,179,31718,52012,1
A9722,13-08-2020,27658,Employed,20,36,3,641,3,0,0,22,246,23883,29602,0
A9723,14-08-2020,17160,Employed,21,36,0,646,3,0,0,2,432,11908,7862,0
A9724,15-08-2020,17884,Employed,17,60,3,619,2,0,0,13,254,26260,59851,0
A9725,16-08-2020,103673,Employed,8,96,0,151,5,0,0,4,5191,10862,55763,0
A9726,17-08-2020,40930,Employed,14,108,4,239,2,0,0,21,1417,22199,148965,0
A9727,18-08-2020,41904,Self-Employed,17,48,0,563,1,0,0,21,4486,17440,5600,0
A9728,19-08-2020,104596,Employed,1,12,1,262,4,0,0,28,400,99257,7373,1
A9729,20-08-2020,95376,Employed,11,48,1,202,4,0,0,28,1186,60134,107908,1
A9730,21-08-2020,31795,Employed,22,72,1,690,4,0,0,24,1112,8235,8572,0
A9731,22-08-2020,15000,Employed,1,96,0,707,3,0,0,21,998,9249,102484,0
A9732,23-08-2020,128794,Self-Employed,32,60,0,305,2,0,0,4,238,13810,108352,1
A9733,24-08-2020,67322,Employed,35,24,0,462,2,0,0,27,597,26321,248970,1
A9734,25-08-2020,22106,Employed,4,12,2,139,7,0,0,8,3659,3406,142636,0
A9735,26-08-2020,52532,Employed,31,36,4,816,1,0,0,6,2927,39541,5051,0
A9736,27-08-2020,30498,Self-Employed,14,36,2,689,1,0,0,26,1322,26507,2621,0
A9737,28-08-2020,79261,Employed,20,36,2,339,4,0,0,22,1896,37535,50079,1
A9738,29-08-2020,90592,Employed,9,84,1,462,3,0,1,17,970,46369,8614,0
A9739,30-08-2020,77429,Employed,29,60,0,498,4,0,0,19,132,15257,27752,1
A9740,31-08-2020,50349,Employed,21,24,3,248,3,0,0,29,796,19418,40110,1
A9741,01-09-2020,65716,Employed,7,108,1,564,3,0,0,16,501,89178,5776,0
A9742,02-09-2020,30841,Employed,2,48,0,493,1,0,0,2,260,33559,175228,0
A9743,03-09-2020,28585,Employed,0,120,3,348,2,0,0,17,1476,107659,9864,0
A9744,04-09-2020,56533,Employed,19,96,3,277,2,0,0,27,705,4265,14405,0
A9745,05-09-2020,35178,Employed,23,60,1,252,2,0,0,28,444,27428,43388,0
A9746,06-09-2020,43792,Unemployed,23,120,3,277,4,0,0,27,1396,71096,2880,0
A9747,07-09-2020,17217,Employed,14,108,0,1408,1,0,0,18,2506,8958,57954,0
A9748,08-09-2020,79079,Employed,3,24,4,451,5,1,0,11,790,19040,54876,0
A9749,09-09-2020,24507,Employed,8,36,2,542,1,0,0,14,460,11064,109383,0
A9750,10-09-2020,15000,Employed,30,36,1,901,1,0,0,28,2471,1788,27724,0
A9751,11-09-2020,28802,Employed,8,108,2,294,2,0,1,18,600,3275,196962,0
A9752,12-09-2020,38373,Employed,22,60,4,430,2,0,0,10,1388,10224,71591,1
A9753,13-09-2020,129863,Employed,6,72,4,422,2,0,0,9,1227,1933,34026,1
A9754,14-09-2020,38880,Employed,20,36,3,371,4,0,0,20,1007,7603,7680,0
A9755,15-09-2020,49963,Employed,11,48,3,957,6,0,0,2,299,16682,22936,0
A9756,16-09-2020,59581,Employed,29,60,1,129,1,0,0,29,3907,14745,110370,0
A9757,17-09-2020,21163,Employed,25,36,3,434,5,0,0,1,274,11173,31863,0
A9758,18-09-2020,46355,Employed,11,72,2,785,4,0,0,24,1893,59724,50551,0
A9759,19-09-2020,36458,Self-Employed,17,84,4,493,1,0,0,20,1233,19027,9315,0
A9760,20-09-2020,62353,Employed,9,48,1,192,1,0,0,20,1375,1901,25057,0
A9761,21-09-2020,51259,Employed,0,48,3,800,4,0,0,12,2161,8457,31273,0
A9762,22-09-2020,85894,Unemployed,7,36,0,249,5,0,0,16,2252,15858,25097,1
A9763,23-09-2020,34274,Employed,18,12,2,235,4,0,0,22,1773,114390,7355,0
A9764,24-09-2020,68550,Employed,19,48,3,1243,0,0,0,7,1151,10132,294493,0
A9765,25-09-2020,32761,Employed,18,12,2,140,4,0,0,10,838,9696,43544,0
A9766,26-09-2020,30973,Employed,10,12,0,294,3,1,0,24,2785,47688,33403,0
A9767,27-09-2020,161048,Unemployed,26,60,0,757,3,0,0,29,3164,77276,8249,1
A9768,28-09-2020,17072,Employed,15,36,1,795,3,0,0,22,1025,17768,26672,0
A9769,29-09-2020,33034,Employed,20,72,3,164,4,1,0,12,874,6227,202141,0
A9770,30-09-2020,44425,Employed,0,24,1,245,1,0,0,3,4068,12196,16322,0
A9771,01-10-2020,26541,Employed,0,108,0,244,1,0,0,4,6593,10478,20354,0
A9772,02-10-2020,49166,Employed,19,48,0,1227,1,0,0,3,3375,18483,12246,0
A9773,03-10-2020,15449,Employed,0,84,1,145,3,0,0,5,841,30693,272143,0
A9774,04-10-2020,15796,Employed,14,36,0,255,2,1,0,23,2851,111307,109603,0
A9775,05-10-2020,30392,Self-Employed,15,48,1,752,2,0,0,11,1644,185403,8480,0
A9776,06-10-2020,63236,Employed,35,96,3,566,1,0,0,6,544,5890,39349,0
A9777,07-10-2020,36838,Employed,24,24,1,655,2,0,0,5,238,30633,4375,0
A9778,08-10-2020,60518,Employed,19,12,1,567,7,0,0,12,2110,105392,4542,0
A9779,09-10-2020,24133,Employed,28,48,1,267,0,0,0,29,625,24724,186748,0
A9780,10-10-2020,38601,Employed,22,36,5,707,1,0,0,2,1295,8162,1541,0
A9781,11-10-2020,43479,Employed,15,60,1,413,4,0,1,21,1940,45930,3260,0
A9782,12-10-2020,26435,Employed,33,48,3,470,1,0,0,9,3464,36873,8287,0
A9783,13-10-2020,53486,Employed,5,60,0,521,4,0,0,14,995,92154,106618,0
A9784,14-10-2020,42016,Employed,19,96,0,238,7,0,0,7,3465,3774,76971,0
A9785,15-10-2020,53417,Employed,0,108,1,588,3,0,0,22,1210,7580,20543,0
A9786,16-10-2020,51726,Unemployed,20,72,1,395,2,0,0,7,2080,8842,2861,0
A9787,17-10-2020,17097,Employed,21,36,1,238,0,0,0,12,3086,113688,56695,0
A9788,18-10-2020,161594,Unemployed,37,60,1,297,5,0,0,9,3796,40672,4446,1
A9789,19-10-2020,15000,Employed,2,48,1,890,3,0,0,4,473,105223,5293,0
A9790,20-10-2020,19951,Self-Employed,14,72,0,435,2,0,0,4,750,12892,24909,0
A9791,21-10-2020,51013,Employed,27,72,0,334,4,0,0,11,601,43127,23810,0
A9792,22-10-2020,58405,Self-Employed,23,36,2,456,2,0,0,7,627,20049,13390,0
A9793,23-10-2020,38401,Employed,17,48,2,860,3,0,0,29,326,9742,31826,0
A9794,24-10-2020,31675,Employed,5,12,0,464,2,0,0,9,736,67827,117068,0
A9795,25-10-2020,36750,Employed,6,48,1,396,3,1,0,21,2370,26343,59982,0
A9796,26-10-2020,81982,Employed,33,24,3,570,3,0,0,1,910,30062,133729,0
A9797,27-10-2020,21051,Employed,16,108,2,438,3,0,0,4,902,164578,1628,0
A9798,28-10-2020,29292,Employed,22,48,2,192,1,1,0,11,1756,11583,334260,0
A9799,29-10-2020,27554,Employed,13,36,3,208,1,0,0,23,833,17224,33304,0
A9800,30-10-2020,98001,Employed,3,60,1,466,8,0,0,3,1315,8455,52870,0
A9801,31-10-2020,57484,Self-Employed,27,96,0,352,1,0,0,3,694,8502,14790,0
A9802,01-11-2020,66144,Employed,26,60,1,585,4,0,0,28,3389,3740,48673,0
A9803,02-11-2020,150777,Employed,45,48,1,253,2,0,1,1,7182,17729,233301,1
A9804,03-11-2020,98646,Employed,5,60,5,292,0,0,0,8,688,18065,189395,1
A9805,04-11-2020,55522,Employed,24,24,0,498,1,0,0,7,151,14335,168302,0
A9806,05-11-2020,104738,Employed,6,72,1,532,3,0,0,3,1012,5689,35257,0
A9807,06-11-2020,24897,Employed,19,48,1,282,2,0,0,15,2557,7663,8826,0
A9808,07-11-2020,43431,Employed,29,60,2,382,0,0,0,14,1901,174267,4397,0
A9809,08-11-2020,77710,Employed,0,36,2,1219,1,0,0,1,3054,27134,50381,0
A9810,09-11-2020,15000,Employed,15,96,0,417,1,0,0,26,5386,21517,32476,0
A9811,10-11-2020,25455,Employed,14,36,3,1071,5,0,0,21,2778,41007,4014,0
A9812,11-11-2020,81886,Employed,13,48,2,601,3,0,0,26,1411,7355,39970,1
A9813,12-11-2020,44964,Employed,22,36,2,192,1,0,0,15,1372,90204,79361,1
A9814,13-11-2020,69516,Employed,31,24,4,223,2,0,0,19,219,40345,27336,0
A9815,14-11-2020,15000,Employed,16,60,1,138,4,0,0,8,433,4477,108791,0
A9816,15-11-2020,42713,Employed,19,84,1,424,5,0,0,3,744,42060,21436,0
A9817,16-11-2020,79096,Employed,20,48,1,381,6,0,0,25,584,15616,30609,0
A9818,17-11-2020,23815,Self-Employed,14,36,0,194,4,0,0,24,423,17674,4233,0
A9819,18-11-2020,70511,Unemployed,4,24,0,159,3,0,1,9,1417,14463,198801,1
A9820,19-11-2020,63693,Employed,28,12,0,695,2,0,1,16,1771,69260,9502,0
A9821,20-11-2020,21856,Employed,24,48,1,407,4,0,0,28,4474,13459,54036,0
A9822,21-11-2020,51792,Employed,23,48,2,393,2,0,0,27,279,15678,25756,0
A9823,22-11-2020,56114,Employed,6,24,2,357,2,0,0,18,1318,46421,16653,0
A9824,23-11-2020,57182,Employed,12,36,1,280,5,0,0,24,264,29687,62353,0
A9825,24-11-2020,62772,Employed,17,48,2,299,1,0,0,18,544,43613,10361,0
A9826,25-11-2020,15000,Employed,2,48,0,260,3,0,0,20,258,26817,20447,0
A9827,26-11-2020,180014,Employed,0,48,0,514,1,0,0,12,1701,15584,58169,1
A9828,27-11-2020,220534,Employed,8,96,2,553,2,0,0,11,888,3600,181880,1
A9829,28-11-2020,102841,Employed,23,72,2,392,2,0,0,3,1911,40530,8197,0
A9830,29-11-2020,48933,Employed,10,24,1,322,0,0,0,20,90,4384,50483,0
A9831,30-11-2020,37427,Employed,7,48,0,998,6,0,0,10,1901,36461,10493,0
A9832,01-12-2020,37570,Employed,8,36,1,279,1,0,0,23,756,149500,92458,0
A9833,02-12-2020,94179,Employed,14,48,1,264,2,0,0,27,934,51130,94891,1
A9834,03-12-2020,60390,Employed,14,36,2,437,3,0,0,28,319,3341,157779,0
A9835,04-12-2020,35912,Employed,40,60,0,507,1,0,0,6,959,2425,20961,0
A9836,05-12-2020,44104,Employed,33,72,3,736,4,0,0,2,716,306498,2183,0
A9837,06-12-2020,147097,Employed,28,24,4,1116,4,0,0,6,1494,10460,255098,1
A9838,07-12-2020,42100,Self-Employed,29,84,3,130,2,0,0,2,6703,44446,27447,0
A9839,08-12-2020,51927,Self-Employed,4,12,2,500,3,0,0,14,100,40178,4044,0
A9840,09-12-2020,79952,Employed,2,120,4,200,5,0,0,10,1521,40882,10810,0
A9841,10-12-2020,99303,Self-Employed,4,96,0,443,3,0,0,26,804,24816,2493,0
A9842,11-12-2020,101995,Employed,35,36,1,1005,4,0,0,11,1238,81701,3559,1
A9843,12-12-2020,28513,Employed,15,48,1,506,3,0,0,11,2385,88717,128874,0
A9844,13-12-2020,19307,Employed,1,120,3,203,2,0,0,11,970,7206,44292,0
A9845,14-12-2020,25364,Employed,12,60,0,686,2,0,0,28,4213,57919,65378,0
A9846,15-12-2020,42752,Employed,16,84,0,841,4,0,0,1,342,24109,9225,0
A9847,16-12-2020,73698,Employed,21,12,0,548,5,0,1,10,2549,27423,10667,0
A9848,17-12-2020,42903,Unemployed,20,36,1,485,5,0,0,19,437,94531,10449,0
A9849,18-12-2020,49936,Employed,9,84,3,338,5,0,0,27,1332,25517,114782,0
A9850,19-12-2020,34942,Employed,22,48,0,485,3,0,0,25,409,9772,252260,0
A9851,20-12-2020,33299,Self-Employed,8,84,4,591,3,0,0,6,989,21059,4028,0
A9852,21-12-2020,38940,Employed,14,72,4,933,2,0,0,19,2483,50270,4083,0
A9853,22-12-2020,224527,Employed,26,96,1,272,3,0,0,22,2572,65237,4589,1
A9854,23-12-2020,65274,Employed,8,60,0,240,7,0,0,29,978,23307,68950,0
A9855,24-12-2020,36256,Employed,12,72,1,422,1,0,0,23,821,41568,149192,0
A9856,25-12-2020,19563,Employed,23,36,1,611,1,0,0,13,1347,30538,13038,0
A9857,26-12-2020,25447,Employed,7,24,2,631,5,0,0,4,3794,5501,126247,0
A9858,27-12-2020,57042,Unemployed,15,48,2,503,3,0,0,11,541,20018,31477,0
A9859,28-12-2020,104103,Employed,24,36,1,638,4,0,0,19,998,48501,175122,1
A9860,29-12-2020,142796,Unemployed,42,60,2,210,4,0,0,4,2484,9100,16643,0
A9861,30-12-2020,49383,Employed,20,36,0,207,2,0,0,13,352,39099,213402,1
A9862,31-12-2020,97253,Employed,22,84,0,334,4,0,0,3,431,14407,23774,0
A9863,01-01-2021,25449,Employed,20,72,0,135,4,1,0,21,3440,19971,20614,0
A9864,02-01-2021,97969,Employed,2,84,3,627,1,0,0,18,2969,17417,6680,1
A9865,03-01-2021,38956,Employed,18,108,4,184,1,0,0,2,901,3829,6439,0
A9866,04-01-2021,99799,Employed,17,36,0,658,1,0,0,25,405,48717,3533,1
A9867,05-01-2021,182273,Self-Employed,24,36,2,210,3,0,0,23,2076,4291,21997,1
A9868,06-01-2021,33055,Employed,20,72,0,477,2,0,0,25,218,6133,115095,0
A9869,07-01-2021,41056,Employed,20,48,0,245,0,0,0,26,1057,93120,2587,0
A9870,08-01-2021,54314,Unemployed,14,72,3,294,1,1,0,13,4194,26448,263398,0
A9871,09-01-2021,47384,Employed,17,36,0,263,5,0,0,12,366,55466,7691,1
A9872,10-01-2021,31944,Employed,7,12,4,414,4,0,0,28,661,61328,116209,0
A9873,11-01-2021,39705,Employed,13,108,0,664,3,0,1,22,1307,18593,126602,0
A9874,12-01-2021,16197,Employed,31,36,3,405,1,0,1,5,2163,16727,126008,0
A9875,13-01-2021,95640,Employed,24,48,1,384,2,0,0,9,1164,4809,191507,1
A9876,14-01-2021,31613,Unemployed,16,36,1,251,3,0,0,21,559,12458,63496,0
A9877,15-01-2021,16438,Employed,37,60,2,373,4,0,0,28,343,21293,273615,0
A9878,16-01-2021,87305,Employed,0,36,3,271,3,0,0,27,392,36641,2717,1
A9879,17-01-2021,49467,Unemployed,5,24,1,289,2,0,0,5,454,5902,39364,0
A9880,18-01-2021,21042,Employed,36,60,0,401,3,0,0,21,11420,78855,5362,0
A9881,19-01-2021,85431,Unemployed,15,72,1,488,3,0,1,4,884,46858,4083,0
A9882,20-01-2021,76426,Employed,14,60,0,331,3,0,0,25,1267,16263,32333,1
A9883,21-01-2021,39987,Employed,0,12,0,276,2,0,0,11,2485,6209,14350,0
A9884,22-01-2021,41612,Employed,23,24,0,497,1,0,0,16,315,50195,605595,0
A9885,23-01-2021,46739,Employed,23,36,2,1487,4,0,0,20,4514,23022,34912,0
A9886,24-01-2021,54652,Employed,5,48,1,612,2,0,0,14,589,14243,67230,0
A9887,25-01-2021,37643,Self-Employed,16,60,1,264,2,0,0,20,950,40856,46121,0
A9888,26-01-2021,79315,Employed,12,108,0,260,4,0,0,14,459,22537,2789,0
A9889,27-01-2021,54730,Employed,22,60,2,291,4,0,0,21,381,19354,65401,1
A9890,28-01-2021,47172,Employed,4,48,0,294,2,0,0,13,7171,83453,8681,0
A9891,29-01-2021,181465,Employed,31,48,1,434,5,0,1,16,8736,24676,26028,1
A9892,30-01-2021,46050,Employed,23,36,4,403,5,0,0,16,4359,26275,273821,1
A9893,31-01-2021,101770,Employed,17,72,3,499,3,0,0,15,438,1433,47733,0
A9894,01-02-2021,60387,Employed,11,84,2,687,2,0,0,12,1050,42721,8699,0
A9895,02-02-2021,70432,Employed,16,120,3,262,1,0,1,25,807,11369,80112,1
A9896,03-02-2021,30982,Employed,6,108,0,395,1,0,0,11,303,17637,38865,0
A9897,04-02-2021,15601,Self-Employed,9,120,0,380,1,0,0,20,570,10980,4220,0
A9898,05-02-2021,59069,Employed,10,60,2,762,1,0,0,11,2338,45171,25643,0
A9899,06-02-2021,25085,Employed,38,12,1,577,6,0,1,9,654,14793,179431,0
A9900,07-02-2021,66860,Employed,29,24,3,513,1,0,0,8,1186,12354,40115,0
A9901,08-02-2021,48056,Employed,29,96,1,405,3,0,0,7,1451,27712,17957,0
A9902,09-02-2021,38236,Employed,22,96,1,190,3,0,0,2,509,7728,27997,0
A9903,10-02-2021,36961,Employed,1,48,3,527,9,0,0,28,875,22647,178203,0
A9904,11-02-2021,50797,Employed,17,60,0,174,1,0,0,19,1835,85621,10250,0
A9905,12-02-2021,25368,Employed,32,72,0,280,4,0,0,5,1947,22452,15200,0
A9906,13-02-2021,44589,Employed,3,48,3,480,4,0,0,19,1038,16761,108759,0
A9907,14-02-2021,34416,Employed,28,24,4,1159,6,0,1,13,857,19662,93072,0
A9908,15-02-2021,39634,Employed,45,72,1,579,4,0,0,23,1690,11902,223718,0
A9909,16-02-2021,15971,Employed,28,36,2,236,3,0,0,4,5371,16398,11093,0
A9910,17-02-2021,21687,Employed,35,12,4,385,4,0,0,17,2690,19518,3261,0
A9911,18-02-2021,54851,Employed,20,36,2,290,6,1,1,11,2656,95289,2749,0
A9912,19-02-2021,60014,Employed,29,36,0,180,6,1,0,1,1198,146088,379967,1
A9913,20-02-2021,41861,Employed,8,60,0,179,1,0,1,3,996,23943,18021,0
A9914,21-02-2021,168849,Unemployed,25,36,0,1135,4,0,0,23,957,66230,8478,1
A9915,22-02-2021,114293,Employed,23,48,0,385,1,0,0,6,4002,11375,106383,1
A9916,23-02-2021,85237,Employed,16,72,1,220,2,0,0,7,3460,103860,6828,0
A9917,24-02-2021,105957,Employed,32,72,2,252,2,0,1,22,561,10665,3720,1
A9918,25-02-2021,35086,Employed,9,60,3,307,4,0,0,4,2090,52673,74217,0
A9919,26-02-2021,42309,Employed,18,60,3,778,1,0,0,4,440,2720,34872,0
A9920,27-02-2021,124433,Employed,19,48,1,673,2,0,0,12,561,30318,187586,1
A9921,28-02-2021,55025,Employed,5,24,2,242,2,0,0,18,233,10159,68079,0
A9922,01-03-2021,59704,Employed,22,72,1,992,7,0,0,15,435,27753,1505,0
A9923,02-03-2021,99186,Employed,0,48,0,420,5,0,0,26,1868,127447,5353,1
A9924,03-03-2021,55979,Employed,30,60,0,576,0,0,0,13,1175,25680,13745,1
A9925,04-03-2021,47753,Employed,19,84,1,526,4,0,0,29,551,12891,32976,0
A9926,05-03-2021,16913,Employed,5,60,0,917,2,0,0,2,1141,2820,42455,0
A9927,06-03-2021,31617,Employed,5,36,0,391,2,0,0,1,2774,8127,16401,0
A9928,07-03-2021,40239,Employed,10,36,0,665,5,0,0,11,3469,19310,110152,1
A9929,08-03-2021,40080,Unemployed,23,60,0,339,1,0,0,21,789,8300,196727,0
A9930,09-03-2021,82660,Employed,25,60,2,479,5,0,0,14,1668,20507,1264382,1
A9931,10-03-2021,29074,Employed,8,60,0,474,4,1,0,26,1035,5544,9340,0
A9932,11-03-2021,116651,Employed,7,48,3,509,4,0,0,2,7902,37563,3420,1
A9933,12-03-2021,16959,Employed,25,36,0,481,2,0,0,28,1040,82294,2846,0
A9934,13-03-2021,66571,Employed,10,84,0,190,4,0,0,7,15827,14155,12960,0
A9935,14-03-2021,108774,Employed,18,60,2,201,4,0,0,3,2258,8575,10610,1
A9936,15-03-2021,65412,Employed,18,12,2,652,3,1,0,7,349,36759,41320,0
A9937,16-03-2021,94197,Employed,20,60,1,701,4,0,0,12,1553,9811,101433,1
A9938,17-03-2021,46621,Employed,27,72,1,876,3,0,0,4,439,208654,7946,0
A9939,18-03-2021,95552,Employed,2,60,0,350,5,0,0,14,5480,14186,4425,0
A9940,19-03-2021,27607,Employed,0,72,5,998,6,0,0,11,6043,19421,27163,0
A9941,20-03-2021,33893,Employed,11,60,4,305,3,0,0,13,3166,36920,5303,0
A9942,21-03-2021,187836,Employed,36,120,0,229,2,0,0,20,476,220156,7478,1
A9943,22-03-2021,88632,Employed,45,84,0,503,4,0,0,24,190,18715,10264,1
A9944,23-03-2021,97746,Self-Employed,37,36,2,864,2,0,0,26,203,9852,21553,0
A9945,24-03-2021,75896,Self-Employed,14,24,0,186,3,0,0,20,428,27292,322121,0
A9946,25-03-2021,75393,Unemployed,0,48,3,519,4,0,1,6,1411,125108,9933,0
A9947,26-03-2021,15000,Employed,0,48,4,175,3,0,0,4,1513,200305,4366,0
A9948,27-03-2021,61203,Self-Employed,9,24,2,212,1,0,0,13,210,13660,8679,1
A9949,28-03-2021,47915,Employed,13,24,0,667,1,0,0,21,1170,8444,13369,0
A9950,29-03-2021,111521,Self-Employed,36,12,4,510,3,0,0,5,2547,29542,9969,0
A9951,30-03-2021,24294,Employed,26,12,3,1565,2,0,0,12,335,69919,3615,0
A9952,31-03-2021,100764,Employed,20,60,0,299,0,0,0,10,991,25564,40850,1
A9953,01-04-2021,19955,Employed,4,36,3,224,1,0,0,11,243,17538,33253,0
A9954,02-04-2021,40643,Employed,9,12,0,322,2,0,0,25,1847,25499,9079,0
A9955,03-04-2021,18968,Employed,16,36,2,693,5,0,0,9,2154,46830,84568,0
A9956,04-04-2021,35962,Employed,27,96,2,499,6,0,0,4,2567,31999,22758,0
A9957,05-04-2021,52455,Employed,19,96,5,482,1,0,0,6,536,8245,456375,0
A9958,06-04-2021,72843,Employed,5,36,0,394,1,0,0,1,1173,10309,1569,0
A9959,07-04-2021,51496,Employed,26,60,2,889,2,0,0,4,778,28312,387210,0
A9960,08-04-2021,25569,Employed,22,48,3,416,1,0,0,9,1713,3095,36748,0
A9961,09-04-2021,15000,Employed,2,36,2,536,2,0,0,16,751,29017,7100,0
A9962,10-04-2021,71906,Unemployed,11,60,0,421,0,0,0,1,2848,12438,2245,0
A9963,11-04-2021,38723,Employed,24,48,3,817,3,0,0,11,220,39899,4047,0
A9964,12-04-2021,33926,Employed,15,48,1,363,2,0,0,24,2630,61779,10182,0
A9965,13-04-2021,124902,Employed,35,48,1,229,2,0,0,17,498,10716,283337,1
A9966,14-04-2021,52030,Self-Employed,23,84,0,494,2,0,0,29,1130,11155,118097,0
A9967,15-04-2021,42396,Employed,13,36,2,258,3,0,1,22,1214,142121,6322,0
A9968,16-04-2021,48010,Employed,19,72,2,356,6,0,0,12,602,5963,19074,0
A9969,17-04-2021,122377,Employed,16,48,2,332,3,0,1,1,1507,22442,3504,0
A9970,18-04-2021,75630,Employed,7,36,0,361,4,0,0,18,1386,8329,39651,1
A9971,19-04-2021,15000,Self-Employed,5,24,0,303,3,0,0,22,900,8852,24427,0
A9972,20-04-2021,32622,Employed,25,36,1,188,3,0,0,2,892,46439,10251,0
A9973,21-04-2021,45604,Employed,26,36,4,320,2,0,0,3,817,7199,167904,0
A9974,22-04-2021,85092,Unemployed,22,36,3,334,3,0,0,28,1068,175125,9663,1
A9975,23-04-2021,21820,Employed,39,36,2,336,4,0,1,12,66,29892,4004,0
A9976,24-04-2021,49458,Self-Employed,15,84,1,369,1,0,0,15,895,16071,5094,0
A9977,25-04-2021,48399,Employed,34,60,0,444,3,0,0,23,581,164356,1641,0
A9978,26-04-2021,102806,Employed,9,120,2,116,4,0,0,18,523,16828,191169,0
A9979,27-04-2021,32739,Self-Employed,7,24,0,355,1,0,0,21,507,50692,135564,1
A9980,28-04-2021,38945,Employed,0,60,3,374,2,0,0,8,5712,5824,23633,0
A9981,29-04-2021,97371,Employed,15,84,0,443,3,0,0,12,1116,101978,4249,0
A9982,30-04-2021,69893,Employed,11,24,1,409,1,0,0,24,564,26754,146065,1
A9983,01-05-2021,70908,Self-Employed,25,84,1,298,2,0,0,8,1172,14912,30782,1
A9984,02-05-2021,35129,Employed,20,36,2,725,5,0,1,15,2244,2394,51000,0
A9985,03-05-2021,42448,Employed,2,60,2,587,2,0,0,17,1341,20500,4493,0
A9986,04-05-2021,45271,Employed,13,60,5,1109,3,0,0,12,626,25827,82670,0
A9987,05-05-2021,70444,Employed,13,48,0,694,6,0,0,13,1635,18731,2050,0
A9988,06-05-2021,62810,Employed,0,36,0,670,3,0,0,23,843,15964,55877,0
A9989,07-05-2021,30506,Unemployed,3,36,2,1036,8,0,0,22,688,4419,21417,0
A9990,08-05-2021,103853,Employed,4,36,1,495,4,0,0,13,523,10957,78376,1
A9991,09-05-2021,99168,Employed,35,48,5,219,3,0,0,6,1902,70638,10078,0
A9992,10-05-2021,28029,Employed,16,60,0,471,0,0,0,7,811,8470,175039,0
A9993,11-05-2021,38414,Employed,23,24,4,280,1,0,0,9,709,44005,234016,1
A9994,12-05-2021,39173,Employed,2,24,3,257,2,0,0,25,2748,17830,10564,0
A9995,13-05-2021,80380,Employed,34,84,0,220,1,0,0,3,152,7245,242565,0
A9996,14-05-2021,45309,Employed,34,60,5,656,3,0,1,7,1151,25943,354862,0
A9997,15-05-2021,26164,Self-Employed,0,24,0,269,3,0,0,14,2146,41283,77147,0
A9998,16-05-2021,79699,Employed,10,60,2,344,3,0,0,18,286,37541,37926,1
A9999,17-05-2021,65378,Employed,26,60,0,481,3,1,1,4,896,15816,91425,0
B001,18-05-2021,15000,Employed,25,24,1,454,1,0,0,23,1168,14706,23169,0
B002,19-05-2021,84537,Employed,12,24,0,354,3,0,0,7,605,10036,156750,1
B003,20-05-2021,21208,Unemployed,16,72,3,322,5,0,0,2,1673,144653,1323,0
B004,21-05-2021,28894,Employed,11,36,0,799,5,0,0,6,2069,43334,1648,0
B005,22-05-2021,46238,Employed,18,96,0,257,7,0,1,22,279,9316,57633,0
B006,23-05-2021,45662,Employed,29,72,1,649,5,0,0,19,631,49567,108929,0
B007,24-05-2021,30191,Employed,6,72,1,478,4,0,0,26,1667,50791,6647,0
B008,25-05-2021,32399,Employed,32,36,4,488,3,1,0,29,2709,9219,15766,0
B009,26-05-2021,57130,Employed,8,108,4,573,6,0,0,23,1293,12738,75648,0
B010,27-05-2021,15818,Employed,6,60,2,379,2,0,0,25,2081,7330,4586,0
B011,28-05-2021,36007,Employed,27,36,2,463,4,0,1,13,675,10486,38796,0
B012,29-05-2021,73998,Employed,29,72,3,250,2,0,0,10,276,56832,622068,1
B013,30-05-2021,59027,Employed,31,60,0,334,1,0,0,22,8669,13749,18801,0
B014,31-05-2021,30657,Employed,4,48,0,503,5,0,0,13,7111,108838,7743,0
